,n_trees,n_interval,min_length,time,accuracy,f1,recall
113,500,3,10,1.6350350379943848,0.8173913043478261,0.817391304347826,0.8173913043478261
114,500,3,20,1.6949450969696045,0.782608695652174,0.782608695652174,0.782608695652174
115,500,3,50,1.3523812294006348,0.7913043478260869,0.791304347826087,0.7913043478260869
116,500,3,100,1.0606904029846191,0.7130434782608696,0.7130434782608696,0.7130434782608696
117,500,3,200,1.584183931350708,0.8173913043478261,0.817391304347826,0.8173913043478261
118,500,3,500,1.770979642868042,0.8,0.8000000000000002,0.8
119,500,3,1000,2.1591427326202393,0.8347826086956521,0.8347826086956521,0.8347826086956521
120,500,5,5,1.6611530780792236,0.8,0.8000000000000002,0.8
121,500,5,10,1.8183178901672363,0.7130434782608696,0.7130434782608696,0.7130434782608696
122,500,5,20,2.294358968734741,0.7913043478260869,0.791304347826087,0.7913043478260869
123,500,5,50,1.5892579555511475,0.7565217391304347,0.7565217391304349,0.7565217391304347
124,500,5,100,2.6949856281280518,0.8782608695652174,0.8782608695652175,0.8782608695652174
125,500,5,200,2.772928237915039,0.8695652173913043,0.8695652173913043,0.8695652173913043
126,500,5,500,2.798931121826172,0.8173913043478261,0.817391304347826,0.8173913043478261
127,500,5,1000,1.801896333694458,0.8,0.8000000000000002,0.8
128,500,10,5,3.4242424964904785,0.8,0.8000000000000002,0.8
129,500,10,10,4.00190806388855,0.808695652173913,0.808695652173913,0.808695652173913
130,500,10,20,4.7573771476745605,0.8434782608695652,0.8434782608695653,0.8434782608695652
131,500,10,50,4.6111133098602295,0.8347826086956521,0.8347826086956521,0.8347826086956521
132,500,10,100,4.1446213722229,0.8521739130434782,0.8521739130434782,0.8521739130434782
133,500,10,200,4.254880905151367,0.8521739130434782,0.8521739130434782,0.8521739130434782
134,500,10,500,3.9925334453582764,0.8521739130434782,0.8521739130434782,0.8521739130434782
135,500,10,1000,3.6479380130767822,0.8347826086956521,0.8347826086956521,0.8347826086956521
136,500,20,5,7.602893114089966,0.8434782608695652,0.8434782608695653,0.8434782608695652
137,500,20,10,7.2932398319244385,0.8608695652173913,0.8608695652173913,0.8608695652173913
138,500,20,20,5.892971754074097,0.8434782608695652,0.8434782608695653,0.8434782608695652
139,500,20,50,8.786778450012207,0.8608695652173913,0.8608695652173913,0.8608695652173913
140,500,20,100,7.886242628097534,0.8347826086956521,0.8347826086956521,0.8347826086956521
141,500,20,200,8.409004926681519,0.8434782608695652,0.8434782608695653,0.8434782608695652
142,500,20,500,6.724655866622925,0.8173913043478261,0.817391304347826,0.8173913043478261
143,500,20,1000,7.205108165740967,0.8608695652173913,0.8608695652173913,0.8608695652173913
144,500,50,5,18.394062042236328,0.8608695652173913,0.8608695652173913,0.8608695652173913
145,500,50,10,20.402267456054688,0.8521739130434782,0.8521739130434782,0.8521739130434782
146,500,50,20,17.88026738166809,0.8521739130434782,0.8521739130434782,0.8521739130434782
147,500,50,50,18.832754850387573,0.8608695652173913,0.8608695652173913,0.8608695652173913
148,500,50,100,18.772918462753296,0.8608695652173913,0.8608695652173913,0.8608695652173913
149,500,50,200,16.212433576583862,0.8521739130434782,0.8521739130434782,0.8521739130434782
150,500,50,500,19.150325775146484,0.8695652173913043,0.8695652173913043,0.8695652173913043
151,500,50,1000,18.75701642036438,0.8521739130434782,0.8521739130434782,0.8521739130434782
152,500,100,5,36.384135484695435,0.8695652173913043,0.8695652173913043,0.8695652173913043
153,500,100,10,37.60726594924927,0.9043478260869565,0.9043478260869565,0.9043478260869565
154,500,100,20,35.09831476211548,0.8608695652173913,0.8608695652173913,0.8608695652173913
155,500,100,50,36.85102462768555,0.8608695652173913,0.8608695652173913,0.8608695652173913
156,500,100,100,37.85276556015015,0.8695652173913043,0.8695652173913043,0.8695652173913043
157,500,100,200,34.44955325126648,0.8608695652173913,0.8608695652173913,0.8608695652173913
158,500,100,500,36.33123826980591,0.8695652173913043,0.8695652173913043,0.8695652173913043
159,500,100,1000,32.59681510925293,0.8608695652173913,0.8608695652173913,0.8608695652173913
160,500,200,5,69.36389231681824,0.8608695652173913,0.8608695652173913,0.8608695652173913
161,500,200,10,67.29581308364868,0.8782608695652174,0.8782608695652175,0.8782608695652174
162,500,200,20,67.8181893825531,0.8695652173913043,0.8695652173913043,0.8695652173913043
163,500,200,50,69.14354515075684,0.8434782608695652,0.8434782608695653,0.8434782608695652
164,500,200,100,68.16923952102661,0.8695652173913043,0.8695652173913043,0.8695652173913043
165,500,200,200,71.93718361854553,0.8782608695652174,0.8782608695652175,0.8782608695652174
166,500,200,500,68.20352292060852,0.8956521739130435,0.8956521739130435,0.8956521739130435
167,500,200,1000,71.03603601455688,0.8782608695652174,0.8782608695652175,0.8782608695652174
168,1000,3,5,2.369227409362793,0.7913043478260869,0.791304347826087,0.7913043478260869
169,1000,3,10,2.329728603363037,0.8,0.8000000000000002,0.8
170,1000,3,20,2.2288265228271484,0.7391304347826086,0.7391304347826085,0.7391304347826086
171,1000,3,50,2.076411008834839,0.7739130434782608,0.7739130434782608,0.7739130434782608
172,1000,3,100,2.523777961730957,0.7913043478260869,0.791304347826087,0.7913043478260869
173,1000,3,200,2.5782878398895264,0.8173913043478261,0.817391304347826,0.8173913043478261
174,1000,3,500,2.775269031524658,0.8,0.8000000000000002,0.8
175,1000,3,1000,1.9344220161437988,0.7739130434782608,0.7739130434782608,0.7739130434782608
176,1000,5,5,3.0352344512939453,0.7913043478260869,0.791304347826087,0.7913043478260869
177,1000,5,10,3.5392067432403564,0.808695652173913,0.808695652173913,0.808695652173913
178,1000,5,20,3.2664637565612793,0.782608695652174,0.782608695652174,0.782608695652174
179,1000,5,50,2.5029430389404297,0.8260869565217391,0.8260869565217391,0.8260869565217391
180,1000,5,100,2.4028735160827637,0.7478260869565218,0.7478260869565218,0.7478260869565218
181,1000,5,200,3.0508406162261963,0.808695652173913,0.808695652173913,0.808695652173913
182,1000,5,500,2.338181257247925,0.7304347826086957,0.7304347826086957,0.7304347826086957
183,1000,5,1000,3.5500128269195557,0.8,0.8000000000000002,0.8
184,1000,10,5,5.183262348175049,0.8434782608695652,0.8434782608695653,0.8434782608695652
185,1000,10,10,4.454645156860352,0.8521739130434782,0.8521739130434782,0.8521739130434782
186,1000,10,20,5.014424800872803,0.8521739130434782,0.8521739130434782,0.8521739130434782
187,1000,10,50,5.535076379776001,0.8260869565217391,0.8260869565217391,0.8260869565217391
188,1000,10,100,5.346184492111206,0.8695652173913043,0.8695652173913043,0.8695652173913043
189,1000,10,200,4.570178747177124,0.8608695652173913,0.8608695652173913,0.8608695652173913
190,1000,10,500,4.3810038566589355,0.8434782608695652,0.8434782608695653,0.8434782608695652
191,1000,10,1000,5.45915412902832,0.7913043478260869,0.791304347826087,0.7913043478260869
192,1000,20,5,8.018473386764526,0.8521739130434782,0.8521739130434782,0.8521739130434782
193,1000,20,10,8.379518270492554,0.8782608695652174,0.8782608695652175,0.8782608695652174
194,1000,20,20,8.896626234054565,0.8347826086956521,0.8347826086956521,0.8347826086956521
195,1000,20,50,7.558344125747681,0.8521739130434782,0.8521739130434782,0.8521739130434782
196,1000,20,100,9.76760745048523,0.8608695652173913,0.8608695652173913,0.8608695652173913
197,1000,20,200,8.339388608932495,0.8608695652173913,0.8608695652173913,0.8608695652173913
198,1000,20,500,7.948989629745483,0.8347826086956521,0.8347826086956521,0.8347826086956521
199,1000,20,1000,9.14168906211853,0.8434782608695652,0.8434782608695653,0.8434782608695652
200,1000,50,5,19.38671350479126,0.8521739130434782,0.8521739130434782,0.8521739130434782
201,1000,50,10,16.800021171569824,0.808695652173913,0.808695652173913,0.808695652173913
202,1000,50,20,17.260165214538574,0.8695652173913043,0.8695652173913043,0.8695652173913043
203,1000,50,50,18.282795667648315,0.8521739130434782,0.8521739130434782,0.8521739130434782
204,1000,50,100,19.988719940185547,0.8434782608695652,0.8434782608695653,0.8434782608695652
205,1000,50,200,19.65411138534546,0.8608695652173913,0.8608695652173913,0.8608695652173913
206,1000,50,500,18.03909707069397,0.8521739130434782,0.8521739130434782,0.8521739130434782
207,1000,50,1000,17.128299236297607,0.8347826086956521,0.8347826086956521,0.8347826086956521
208,1000,100,5,36.08494210243225,0.8521739130434782,0.8521739130434782,0.8521739130434782
209,1000,100,10,38.1490797996521,0.8782608695652174,0.8782608695652175,0.8782608695652174
210,1000,100,20,38.08922719955444,0.8695652173913043,0.8695652173913043,0.8695652173913043
211,1000,100,50,36.735655546188354,0.8347826086956521,0.8347826086956521,0.8347826086956521
212,1000,100,100,38.62488126754761,0.8695652173913043,0.8695652173913043,0.8695652173913043
213,1000,100,200,39.64282417297363,0.8608695652173913,0.8608695652173913,0.8608695652173913
214,1000,100,500,37.4560341835022,0.8608695652173913,0.8608695652173913,0.8608695652173913
215,1000,100,1000,34.980567932128906,0.8521739130434782,0.8521739130434782,0.8521739130434782
216,1000,200,5,69.67122435569763,0.8608695652173913,0.8608695652173913,0.8608695652173913
217,1000,200,10,71.09205031394958,0.8869565217391304,0.8869565217391304,0.8869565217391304
218,1000,200,20,72.78666996955872,0.8782608695652174,0.8782608695652175,0.8782608695652174
219,1000,200,50,67.80320739746094,0.8608695652173913,0.8608695652173913,0.8608695652173913
220,1000,200,100,72.80124306678772,0.8782608695652174,0.8782608695652175,0.8782608695652174
221,1000,200,200,72.3919906616211,0.8782608695652174,0.8782608695652175,0.8782608695652174
222,1000,200,500,69.63880133628845,0.8608695652173913,0.8608695652173913,0.8608695652173913
223,1000,200,1000,70.94105386734009,0.8869565217391304,0.8869565217391304,0.8869565217391304
224,5000,3,5,6.15876317024231,0.8173913043478261,0.817391304347826,0.8173913043478261
225,5000,3,10,6.572895288467407,0.8173913043478261,0.817391304347826,0.8173913043478261
226,5000,3,20,6.967763662338257,0.8608695652173913,0.8608695652173913,0.8608695652173913
227,5000,3,50,5.735211372375488,0.7739130434782608,0.7739130434782608,0.7739130434782608
228,5000,3,100,7.348223924636841,0.8347826086956521,0.8347826086956521,0.8347826086956521
229,5000,3,200,6.377037525177002,0.8521739130434782,0.8521739130434782,0.8521739130434782
230,5000,3,500,6.078974723815918,0.7478260869565218,0.7478260869565218,0.7478260869565218
231,5000,3,1000,6.130380392074585,0.8,0.8000000000000002,0.8
232,5000,5,5,7.87418532371521,0.8260869565217391,0.8260869565217391,0.8260869565217391
233,5000,5,10,7.887354612350464,0.8347826086956521,0.8347826086956521,0.8347826086956521
234,5000,5,20,7.116877794265747,0.8521739130434782,0.8521739130434782,0.8521739130434782
235,5000,5,50,8.002802610397339,0.8260869565217391,0.8260869565217391,0.8260869565217391
236,5000,5,100,8.866492748260498,0.8347826086956521,0.8347826086956521,0.8347826086956521
237,5000,5,200,7.991626024246216,0.782608695652174,0.782608695652174,0.782608695652174
238,5000,5,500,6.505298137664795,0.7304347826086957,0.7304347826086957,0.7304347826086957
239,5000,5,1000,7.309645652770996,0.8,0.8000000000000002,0.8
240,5000,10,5,8.8382887840271,0.8434782608695652,0.8434782608695653,0.8434782608695652
241,5000,10,10,9.329419136047363,0.8434782608695652,0.8434782608695653,0.8434782608695652
242,5000,10,20,10.916459798812866,0.8521739130434782,0.8521739130434782,0.8521739130434782
243,5000,10,50,11.289867162704468,0.8521739130434782,0.8521739130434782,0.8521739130434782
244,5000,10,100,12.299665451049805,0.8521739130434782,0.8521739130434782,0.8521739130434782
245,5000,10,200,9.043676137924194,0.8,0.8000000000000002,0.8
246,5000,10,500,8.802641153335571,0.8434782608695652,0.8434782608695653,0.8434782608695652
247,5000,10,1000,11.435420036315918,0.8434782608695652,0.8434782608695653,0.8434782608695652
248,5000,20,5,13.812125205993652,0.8695652173913043,0.8695652173913043,0.8695652173913043
249,5000,20,10,12.627870798110962,0.8521739130434782,0.8521739130434782,0.8521739130434782
250,5000,20,20,14.407159805297852,0.8347826086956521,0.8347826086956521,0.8347826086956521
251,5000,20,50,16.022183179855347,0.8521739130434782,0.8521739130434782,0.8521739130434782
252,5000,20,100,15.192838430404663,0.8608695652173913,0.8608695652173913,0.8608695652173913
253,5000,20,200,14.404932975769043,0.8608695652173913,0.8608695652173913,0.8608695652173913
254,5000,20,500,14.437153100967407,0.8347826086956521,0.8347826086956521,0.8347826086956521
255,5000,20,1000,12.749045133590698,0.8608695652173913,0.8608695652173913,0.8608695652173913
256,5000,50,5,24.02384305000305,0.8695652173913043,0.8695652173913043,0.8695652173913043
257,5000,50,10,27.55200219154358,0.8347826086956521,0.8347826086956521,0.8347826086956521
258,5000,50,20,24.351667404174805,0.8782608695652174,0.8782608695652175,0.8782608695652174
259,5000,50,50,27.627403497695923,0.8782608695652174,0.8782608695652175,0.8782608695652174
260,5000,50,100,25.962891578674316,0.8521739130434782,0.8521739130434782,0.8521739130434782
261,5000,50,200,27.397677183151245,0.8608695652173913,0.8608695652173913,0.8608695652173913
262,5000,50,500,22.61937141418457,0.8608695652173913,0.8608695652173913,0.8608695652173913
263,5000,50,1000,25.371068239212036,0.8521739130434782,0.8521739130434782,0.8521739130434782
264,5000,100,5,43.646653175354004,0.8695652173913043,0.8695652173913043,0.8695652173913043
265,5000,100,10,43.00404405593872,0.8782608695652174,0.8782608695652175,0.8782608695652174
266,5000,100,20,48.285510778427124,0.8608695652173913,0.8608695652173913,0.8608695652173913
267,5000,100,50,46.98199820518494,0.8608695652173913,0.8608695652173913,0.8608695652173913
268,5000,100,100,44.91135835647583,0.8434782608695652,0.8434782608695653,0.8434782608695652
269,5000,100,200,45.763108253479004,0.8608695652173913,0.8608695652173913,0.8608695652173913
